Unnamed: 0,type,epoch,top1,top5,loss,time,network_norm,layer,round,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
8,train,4,0.36406,0.84322,0.0072929321122169,5.1,10.23765473288728,2,2,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
9,test,4,0.3536,0.8405,0.0073029570937156,,,2,2,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
0,train,0,0.3634,0.84196,0.0072751342773437,5.1,10.36483447521953,0,3,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
1,test,0,0.3595,0.8415,0.0072769081711769,,,0,3,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
2,train,1,0.36458,0.843,0.0072625154948234,5.2,10.463985673342354,0,3,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
3,test,1,0.3574,0.8392,0.0072766478657722,,,0,3,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
4,train,2,0.36656,0.84364,0.0072544351530075,5.1,10.555839277745871,0,3,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
5,test,2,0.3637,0.843,0.0072683130145072,,,0,3,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
6,train,3,0.36636,0.84546,0.007242571144104,5.3,10.64322834368561,0,3,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
7,test,3,0.3588,0.8451,0.0072472778916358,,,0,3,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
8,train,4,0.36904,0.8445,0.0072293735575675,5.1,10.727217248970785,0,3,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
9,test,4,0.3633,0.8437,0.0072417358756065,,,0,3,1798,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
0,train,0,0.37104,0.84494,0.0072282735657691,5.3,10.713739284982031,1,3,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
1,test,0,0.3631,0.8439,0.0072363196849823,,,1,3,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
2,train,1,0.36982,0.8452,0.0072300695967674,5.1,10.700299521325316,1,3,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
3,test,1,0.3624,0.8445,0.0072305179357528,,,1,3,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
4,train,2,0.37044,0.84464,0.0072299488973617,5.1,10.68689565828655,1,3,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
5,test,2,0.3626,0.8437,0.0072367469787597,,,1,3,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
6,train,3,0.37012,0.84512,0.0072328300309181,4.9,10.67352700921198,1,3,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
7,test,3,0.3627,0.8434,0.0072394270539283,,,1,3,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
8,train,4,0.36978,0.8463,0.0072315263843536,5.4,10.660195366965684,1,3,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
9,test,4,0.3612,0.8447,0.0072400444626808,,,1,3,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
0,train,0,0.36988,0.84542,0.0072307702064514,4.8,10.646902400696588,2,3,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
1,test,0,0.3615,0.8433,0.0072396648883819,,,2,3,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
2,train,1,0.37004,0.8454,0.0072322051906585,5.1,10.633643849253964,2,3,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
3,test,1,0.3621,0.8443,0.0072423268675804,,,2,3,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
4,train,2,0.3703,0.84556,0.0072325937128067,5.0,10.620424177395856,2,3,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
5,test,2,0.3619,0.843,0.0072428390979766,,,2,3,36928,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_rounds20_epochs5_CIFAR10,5,CNN,layerwise,CNN_layerwise
