Unnamed: 0,type,epoch,top1,top5,loss,time,layer,round,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
8,train,4,0.9991,1.0,1.974103856288517e-05,4.1,0,2,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
9,test,4,0.978,0.9998,0.0003443715045228,,0,2,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
0,train,0,0.9988166666666668,1.0,2.215636131974558e-05,4.3,1,2,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
1,test,0,0.9778,0.9997,0.0003516394029837,,1,2,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
2,train,1,0.9990833333333332,1.0,2.0487957226578146e-05,4.1,1,2,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
3,test,1,0.9778,0.9998,0.0003558907745406,,1,2,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
4,train,2,0.9988333333333334,1.0,2.195363396895118e-05,4.1,1,2,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
5,test,2,0.9777,0.9998,0.0003460380641743,,1,2,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
6,train,3,0.9992,1.0,2.1579351805849e-05,4.1,1,2,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
7,test,3,0.9781,0.9997,0.0003478416637517,,1,2,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
8,train,4,0.99905,1.0,2.2156974009703844e-05,4.0,1,2,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
9,test,4,0.9777,0.9998,0.000345628534723,,1,2,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
0,train,0,0.9989666666666668,1.0,2.3484462775134796e-05,4.2,2,2,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
1,test,0,0.9772,0.9997,0.0003418837577104,,2,2,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
2,train,1,0.9991166666666668,1.0,2.2460535084246654e-05,4.0,2,2,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
3,test,1,0.9779,0.9998,0.0003412369984202,,2,2,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
4,train,2,0.9992,1.0,2.1473935244527336e-05,4.1,2,2,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
5,test,2,0.9784,0.9998,0.0003468340993858,,2,2,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
6,train,3,0.9990666666666668,1.0,2.2922042027736704e-05,4.0,2,2,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
7,test,3,0.9777,0.9996,0.0003480256337672,,2,2,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
8,train,4,0.9991,1.0,2.264524348429404e-05,4.0,2,2,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
9,test,4,0.979,0.9996,0.0003294925805181,,2,2,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
0,train,0,0.9995166666666668,1.0,1.6165991839564715e-05,4.0,0,3,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
1,test,0,0.9786,0.9997,0.0003438014078885,,0,3,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
2,train,1,0.9997,1.0,1.2956730998121202e-05,4.0,0,3,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
3,test,1,0.9795,0.9997,0.0003187864540144,,0,3,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
4,train,2,0.9996166666666668,1.0,1.0388703852853116e-05,4.0,0,3,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
5,test,2,0.9799,0.9998,0.000331864519976,,0,3,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
6,train,3,0.9997833333333334,1.0,9.35716638584078e-06,4.0,0,3,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
7,test,3,0.979,0.9997,0.0003375947359018,,0,3,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
8,train,4,0.9988666666666668,1.0,2.016628477819419e-05,4.1,0,3,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
9,test,4,0.9779,0.9997,0.0003385760758072,,0,3,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
0,train,0,0.99875,1.0,2.0780868654643805e-05,4.1,1,3,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
1,test,0,0.9782,0.9997,0.0003274289928376,,1,3,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
2,train,1,0.9986166666666668,1.0,2.172614790033549e-05,4.2,1,3,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
3,test,1,0.9781,0.9997,0.0003274387490935,,1,3,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
4,train,2,0.9988,1.0,2.0479520570370368e-05,4.2,1,3,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
5,test,2,0.9791,0.9997,0.0003403188063763,,1,3,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
6,train,3,0.9986833333333334,1.0,2.0042224517965223e-05,4.0,1,3,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
7,test,3,0.9795,0.9997,0.0003379570098593,,1,3,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
8,train,4,0.9988,1.0,2.075731862278189e-05,4.2,1,3,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
9,test,4,0.979,0.9996,0.0003263704058714,,1,3,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
0,train,0,0.9986666666666668,1.0,2.0697760352049957e-05,4.3,2,3,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
1,test,0,0.9794,0.9996,0.0003313655957579,,2,3,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
2,train,1,0.9987,1.0,2.1185229423766336e-05,4.1,2,3,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
3,test,1,0.9778,0.9997,0.0003403933992609,,2,3,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
4,train,2,0.9985666666666668,1.0,2.221200022759149e-05,4.1,2,3,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
5,test,2,0.9783,0.9997,0.0003256250681355,,2,3,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
6,train,3,0.9987,1.0,2.194770413819545e-05,4.2,2,3,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
7,test,3,0.9777,0.9997,0.0003243578108027,,2,3,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
8,train,4,0.99885,1.0,2.149765032130138e-05,4.1,2,3,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
9,test,4,0.9796,0.9997,0.0003185266083106,,2,3,262656,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
0,train,0,0.9996166666666668,1.0,1.040237097525581e-05,4.2,0,4,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
1,test,0,0.979,0.9998,0.0003330914150457,,0,4,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
2,train,1,0.9989666666666668,1.0,1.6864391573471947e-05,4.2,0,4,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
3,test,1,0.9768,0.9997,0.0003630626158788,,0,4,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
4,train,2,0.9995,1.0,1.138757073446565e-05,4.2,0,4,403488,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_rounds20_epochs_5,5,MLP,layerwise,MLP_layerwise
