,type,epoch,top1,top5,loss,time,trainable_params,round,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
5,test,2,0.5103,0.9212,0.009737347507476807,,2104832,8,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
6,train,3,0.9531,0.99944,0.0006600940881669521,14.4,2104832,8,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
7,test,3,0.5057,0.919,0.0100656001329422,,2104832,8,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
8,train,4,0.95376,0.99976,0.0006327133148908615,13.8,2104832,8,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
9,test,4,0.5046,0.9174,0.010205364036560059,,2104832,8,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
0,train,0,0.96564,0.99956,0.0005312785036861897,15.3,2104832,9,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
1,test,0,0.5138,0.9183,0.01006160933971405,,2104832,9,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
2,train,1,0.9608,0.99978,0.0005636074231564999,13.1,2104832,9,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
3,test,1,0.5053,0.9193,0.01023237030506134,,2104832,9,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
4,train,2,0.95976,0.99976,0.000567396564334631,13.2,2104832,9,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
5,test,2,0.506,0.9142,0.010437824583053588,,2104832,9,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
6,train,3,0.95536,0.99968,0.0006184713737666607,13.3,2104832,9,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
7,test,3,0.5042,0.9202,0.010581505227088929,,2104832,9,<class 'torch.optim.adamw.AdamW'>,512,250,True,0.01,0.001,False,exp1_round16_epochs_4,5,MLP,backprop,MLP_backprop
