,type,epoch,top1,top5,loss,time,layer,layer_params,optimizer,hidden_layer_dim,batch_size,invariant,model
12,train,6,,,230.79787349700928,13.5,6,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
13,test,6,,,,,6,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
14,train,7,,,230.23586690425873,13.3,6,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
15,test,7,,,,,6,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
16,train,8,,,228.9243599176407,13.1,6,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
17,test,8,,,,,6,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
18,train,9,,,228.7367330789566,12.9,6,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
19,test,9,,,,,6,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
20,train,10,0.60806,0.95554,227.82364356517792,12.8,6,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
21,test,10,0.5242,0.9333,53.92595911026001,,6,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
0,train,0,0.60692,0.95534,227.49640560150146,12.8,7,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
1,test,0,0.5289,0.9295,53.981419801712036,,7,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
2,train,1,,,225.93812131881714,12.6,7,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
3,test,1,,,,,7,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
4,train,2,,,225.82204151153564,12.8,7,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
5,test,2,,,,,7,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
6,train,3,,,224.81031078100204,12.7,7,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
7,test,3,,,,,7,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
8,train,4,,,224.26192200183868,15.2,7,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
9,test,4,,,,,7,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
10,train,5,0.6185,0.95704,223.5041509270668,13.3,7,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
11,test,5,0.5317,0.9359,53.66827881336212,,7,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
12,train,6,,,223.06161510944366,13.5,7,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
13,test,6,,,,,7,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
14,train,7,,,222.0153198838234,13.9,7,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
15,test,7,,,,,7,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
16,train,8,,,221.32814967632294,14.6,7,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
17,test,8,,,,,7,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
18,train,9,,,220.86874932050705,25.6,7,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
19,test,9,,,,,7,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
20,train,10,0.6297,0.95828,219.75539606809616,26.9,7,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
21,test,10,0.5316,0.9332,53.66843223571777,,7,789258,<class 'torch.optim.adam.Adam'>,256,250,False,MLP
