,type,epoch,top1,top5,loss,time,grad_norm,network_norm,trainable_params,round,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
3,test,1,0.8034,0.9847,0.0024674593836069105,,,,74498,12,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
4,train,2,0.80055,0.9822166666666666,0.002550148546695709,4.2,11691.46272461396,17.14697795122475,74498,12,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
5,test,2,0.8035,0.9848,0.0024642825186252594,,,,74498,12,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
0,train,0,0.80085,0.9821,0.002538262893756231,4.3,11964.455401266317,17.2583743931685,74498,13,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
1,test,0,0.8029,0.9848,0.002457265517115593,,,,74498,13,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
2,train,1,0.8010166666666667,0.98235,0.0025334276820222538,4.1,12239.266547413257,17.36832955705378,74498,13,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
3,test,1,0.8027,0.9848,0.0024559599727392196,,,,74498,13,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
4,train,2,0.8026333333333333,0.9822833333333333,0.0025277189498146375,4.5,12510.48882802571,17.472609520479644,74498,13,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
5,test,2,0.8054,0.9849,0.002440416243672371,,,,74498,13,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
0,train,0,0.8026333333333333,0.98235,0.0025244918713967007,4.2,12785.714421372666,17.58091833193531,74498,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
1,test,0,0.8035,0.9848,0.0024459104001522064,,,,74498,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
2,train,1,0.8032833333333333,0.9825,0.0025193617527683575,4.4,13058.344589960423,17.68337481820108,74498,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
3,test,1,0.8042,0.9848,0.002435121777653694,,,,74498,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
4,train,2,0.8030166666666667,0.98245,0.0025173845494786897,4.6,13330.890228631748,17.781710394640314,74498,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
5,test,2,0.8054,0.9847,0.0024313074469566346,,,,74498,14,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_MNIST,3,CNN,backprop,CNN_backprop
