,Unnamed: 0,Unnamed: 0.1,type,epoch,top1,top5,loss,time,layer,round,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
90,90,10,train,5,0.4156333333333333,0.8625833333333334,0.0068758288900057,4.0,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
91,91,11,test,5,0.4145,0.8592,0.0068649261713027,,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
92,92,12,train,6,0.4152833333333333,0.8625666666666667,0.0068789264440536,4.0,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
93,93,13,test,6,0.4161,0.8591,0.0068668389678001,,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
94,94,14,train,7,0.4153333333333333,0.8623666666666666,0.0068817309439182,3.9,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
95,95,15,test,7,0.4152,0.859,0.0068709821701049,,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
96,96,16,train,8,0.4156666666666667,0.8625833333333334,0.0068849342147509,4.0,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
97,97,17,test,8,0.414,0.8593,0.0068735950946807,,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
98,98,18,train,9,0.4152333333333333,0.8627666666666667,0.0068872861981391,4.0,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
99,99,19,test,9,0.4153,0.86,0.0068762608408927,,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
100,100,20,train,10,0.41565,0.8624666666666667,0.0068909722844759,4.1,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
101,101,21,test,10,0.4143,0.8605,0.0068800538659095,,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
102,102,22,train,11,0.4153166666666666,0.8627833333333333,0.0068939281324545,4.0,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
103,103,23,test,11,0.4152,0.8596,0.0068830990552902,,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
104,104,24,train,12,0.4151333333333333,0.8631,0.0068970877567927,4.2,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
105,105,25,test,12,0.4154,0.8591,0.0068869603514671,,2,0,2320,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp2_rounds5_epochs20_CNN,20,CNN,layerwise,CNN_layerwise
