,type,epoch,top1,top5,loss,time,layer,round,grad_norm,network_norm,trainable_params,optimizer,hidden_layer_dim,batch_size,batch_norm,weight_decay,learning_rate,invariant,condition,max_epochs,model,train_strategy,model_strategy
0,train,0,0.9964333333333333,0.9999833333333333,7.480736799382915e-05,6.9,2,3,28.243392278601256,40.47985582005076,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.9743,0.9989,0.0003705143650993705,,2,3,28.243392278601256,40.47985582005076,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.99635,1.0,7.588972536226113e-05,7.0,2,3,28.243392278601256,40.47985582005076,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9732,0.999,0.00036828647777438164,,2,3,28.243392278601256,40.47985582005076,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.99645,1.0,7.689353598592182e-05,6.7,2,3,28.243392278601256,40.47985582005076,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9717,0.9992,0.00036751725766807794,,2,3,28.243392278601256,40.47985582005076,16512,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
0,train,0,0.9969166666666667,1.0,6.483307616629948e-05,7.1,0,4,0.186549499169413,43.00981950022468,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
1,test,0,0.974,0.9996,0.000364440883602947,,0,4,0.186549499169413,43.00981950022468,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
2,train,1,0.9973666666666666,1.0,5.924759975168854e-05,7.1,0,4,0.186549499169413,43.00981950022468,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
3,test,1,0.9741,0.9991,0.00035647063683718445,,0,4,0.186549499169413,43.00981950022468,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
4,train,2,0.99775,1.0,5.2234585268888626e-05,7.2,0,4,0.186549499169413,43.00981950022468,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
5,test,2,0.9735,0.9992,0.0003782300520688295,,0,4,0.186549499169413,43.00981950022468,102048,<class 'torch.optim.adamw.AdamW'>,128,250,True,0.01,0.001,False,exp1_hld128_rounds20_epochs5_MNIST,3,MLP,layerwise,MLP_layerwise
